,Date,Open,High,Low,Close,Adj Close,Volume,Direction,Range,Open Down
57,1965-03-25,1157.069946,1157.069946,1157.069946,1157.069946,1157.069946,0.0,Down,0.0,True
58,1965-03-26,1162.77002,1162.77002,1162.77002,1162.77002,1162.77002,0.0,Down,0.0,True
59,1965-03-29,1188.790039,1188.790039,1188.790039,1188.790039,1188.790039,0.0,Down,0.0,True
60,1965-03-30,1139.800049,1139.800049,1139.800049,1139.800049,1139.800049,0.0,Down,0.0,False
61,1965-03-31,1132.77002,1132.77002,1132.77002,1132.77002,1132.77002,0.0,Down,0.0,False
62,1965-04-01,1127.579956,1127.579956,1127.579956,1127.579956,1127.579956,0.0,Down,0.0,False
63,1965-04-02,1128.569946,1128.569946,1128.569946,1128.569946,1128.569946,0.0,Down,0.0,True
64,1965-04-05,1124.449951,1124.449951,1124.449951,1124.449951,1124.449951,0.0,Down,0.0,False
65,1965-04-06,1154.390015,1154.390015,1154.390015,1154.390015,1154.390015,0.0,Down,0.0,True
66,1965-04-07,1159.97998,1159.97998,1159.97998,1159.97998,1159.97998,0.0,Down,0.0,True
67,1965-04-08,1183.119995,1183.119995,1183.119995,1183.119995,1183.119995,0.0,Down,0.0,True
68,1965-04-09,1180.569946,1180.569946,1180.569946,1180.569946,1180.569946,0.0,Down,0.0,False
69,1965-04-12,1163.0,1163.0,1163.0,1163.0,1163.0,0.0,Down,0.0,False
70,1965-04-13,1149.410034,1149.410034,1149.410034,1149.410034,1149.410034,0.0,Down,0.0,False
71,1965-04-14,1142.22998,1142.22998,1142.22998,1142.22998,1142.22998,0.0,Down,0.0,False
72,1965-04-15,1161.72998,1161.72998,1161.72998,1161.72998,1161.72998,0.0,Down,0.0,True
73,1965-04-16,1148.209961,1148.209961,1148.209961,1148.209961,1148.209961,0.0,Down,0.0,False
74,1965-04-19,1136.130005,1136.130005,1136.130005,1136.130005,1136.130005,0.0,Down,0.0,False
75,1965-04-20,1131.170044,1131.170044,1131.170044,1131.170044,1131.170044,0.0,Down,0.0,False
76,1965-04-21,1119.859985,1119.859985,1119.859985,1119.859985,1119.859985,0.0,Down,0.0,False
77,1965-04-22,1144.550049,1144.550049,1144.550049,1144.550049,1144.550049,0.0,Down,0.0,True
78,1965-04-23,1133.300049,1133.300049,1133.300049,1133.300049,1133.300049,0.0,Down,0.0,False
79,1965-04-26,1144.219971,1144.219971,1144.219971,1144.219971,1144.219971,0.0,Down,0.0,True
80,1965-04-27,1150.079956,1150.079956,1150.079956,1150.079956,1150.079956,0.0,Down,0.0,True
81,1965-04-28,1171.060059,1171.060059,1171.060059,1171.060059,1171.060059,0.0,Down,0.0,True
83,1965-04-30,1176.640015,1176.640015,1176.640015,1176.640015,1176.640015,0.0,Down,0.0,True
87,1965-05-06,1163.51001,1163.51001,1163.51001,1163.51001,1163.51001,0.0,Down,0.0,False
88,1965-05-07,1162.630005,1162.630005,1162.630005,1162.630005,1162.630005,0.0,Down,0.0,False
89,1965-05-10,1162.5,1162.5,1162.5,1162.5,1162.5,0.0,Down,0.0,False
90,1965-05-11,1163.869995,1163.869995,1163.869995,1163.869995,1163.869995,0.0,Down,0.0,True
91,1965-05-12,1157.170044,1157.170044,1157.170044,1157.170044,1157.170044,0.0,Down,0.0,False
92,1965-05-13,1159.859985,1159.859985,1159.859985,1159.859985,1159.859985,0.0,Down,0.0,True
93,1965-05-14,1150.469971,1150.469971,1150.469971,1150.469971,1150.469971,0.0,Down,0.0,False
94,1965-05-17,1149.0,1149.0,1149.0,1149.0,1149.0,0.0,Down,0.0,False
95,1965-05-18,1147.25,1147.25,1147.25,1147.25,1147.25,0.0,Down,0.0,False
96,1965-05-19,1140.790039,1140.790039,1140.790039,1140.790039,1140.790039,0.0,Down,0.0,False
97,1965-05-20,1141.22998,1141.22998,1141.22998,1141.22998,1141.22998,0.0,Down,0.0,True
98,1965-05-21,1142.689941,1142.689941,1142.689941,1142.689941,1142.689941,0.0,Down,0.0,True
99,1965-05-24,1133.630005,1133.630005,1133.630005,1133.630005,1133.630005,0.0,Down,0.0,False
100,1965-05-25,1124.829956,1124.829956,1124.829956,1124.829956,1124.829956,0.0,Down,0.0,False
101,1965-05-26,1117.660034,1117.660034,1117.660034,1117.660034,1117.660034,0.0,Down,0.0,False
102,1965-05-27,1101.0,1101.0,1101.0,1101.0,1101.0,0.0,Down,0.0,False
103,1965-05-28,1081.51001,1081.51001,1081.51001,1081.51001,1081.51001,0.0,Down,0.0,False
104,1965-05-31,1096.599976,1096.599976,1096.599976,1096.599976,1096.599976,0.0,Down,0.0,True
105,1965-06-01,1092.849976,1092.849976,1092.849976,1092.849976,1092.849976,0.0,Down,0.0,False
106,1965-06-02,1119.26001,1119.26001,1119.26001,1119.26001,1119.26001,0.0,Down,0.0,True
107,1965-06-03,1131.319946,1131.319946,1131.319946,1131.319946,1131.319946,0.0,Down,0.0,True
108,1965-06-04,1120.530029,1120.530029,1120.530029,1120.530029,1120.530029,0.0,Down,0.0,False
109,1965-06-07,1114.52002,1114.52002,1114.52002,1114.52002,1114.52002,0.0,Down,0.0,False
110,1965-06-08,1109.420044,1109.420044,1109.420044,1109.420044,1109.420044,0.0,Down,0.0,False
111,1965-06-09,1101.349976,1101.349976,1101.349976,1101.349976,1101.349976,0.0,Down,0.0,False
112,1965-06-10,1090.380005,1090.380005,1090.380005,1090.380005,1090.380005,0.0,Down,0.0,False
113,1965-06-11,1093.140015,1093.140015,1093.140015,1093.140015,1093.140015,0.0,Down,0.0,True
114,1965-06-14,1080.290039,1080.290039,1080.290039,1080.290039,1080.290039,0.0,Down,0.0,False
115,1965-06-15,1069.069946,1069.069946,1069.069946,1069.069946,1069.069946,0.0,Down,0.0,False
116,1965-06-16,1062.680054,1062.680054,1062.680054,1062.680054,1062.680054,0.0,Down,0.0,False
117,1965-06-17,1055.599976,1055.599976,1055.599976,1055.599976,1055.599976,0.0,Down,0.0,False
118,1965-06-18,1080.209961,1080.209961,1080.209961,1080.209961,1080.209961,0.0,Down,0.0,True
119,1965-06-21,1075.599976,1075.599976,1075.599976,1075.599976,1075.599976,0.0,Down,0.0,False
120,1965-06-22,1104.030029,1104.030029,1104.030029,1104.030029,1104.030029,0.0,Down,0.0,True
121,1965-06-23,1091.170044,1091.170044,1091.170044,1091.170044,1091.170044,0.0,Down,0.0,False
122,1965-06-24,1090.660034,1090.660034,1090.660034,1090.660034,1090.660034,0.0,Down,0.0,False
123,1965-06-25,1096.560059,1096.560059,1096.560059,1096.560059,1096.560059,0.0,Down,0.0,True
124,1965-06-28,1072.410034,1072.410034,1072.410034,1072.410034,1072.410034,0.0,Down,0.0,False
125,1965-06-29,1067.719971,1067.719971,1067.719971,1067.719971,1067.719971,0.0,Down,0.0,False
126,1965-06-30,1060.109985,1060.109985,1060.109985,1060.109985,1060.109985,0.0,Down,0.0,False
127,1965-07-01,1064.589966,1064.589966,1064.589966,1064.589966,1064.589966,0.0,Down,0.0,True
128,1965-07-02,1065.890015,1065.890015,1065.890015,1065.890015,1065.890015,0.0,Down,0.0,True
129,1965-07-05,1049.069946,1049.069946,1049.069946,1049.069946,1049.069946,0.0,Down,0.0,False
130,1965-07-06,1046.97998,1046.97998,1046.97998,1046.97998,1046.97998,0.0,Down,0.0,False
131,1965-07-07,1037.52002,1037.52002,1037.52002,1037.52002,1037.52002,0.0,Down,0.0,False
132,1965-07-08,1038.449951,1038.449951,1038.449951,1038.449951,1038.449951,0.0,Down,0.0,True
133,1965-07-09,1032.949951,1032.949951,1032.949951,1032.949951,1032.949951,0.0,Down,0.0,False
134,1965-07-12,1020.48999,1020.48999,1020.48999,1020.48999,1020.48999,0.0,Down,0.0,False
135,1965-07-13,1026.77002,1026.77002,1026.77002,1026.77002,1026.77002,0.0,Down,0.0,True
136,1965-07-14,1033.140015,1033.140015,1033.140015,1033.140015,1033.140015,0.0,Down,0.0,True
137,1965-07-15,1024.680054,1024.680054,1024.680054,1024.680054,1024.680054,0.0,Down,0.0,False
138,1965-07-16,1037.969971,1037.969971,1037.969971,1037.969971,1037.969971,0.0,Down,0.0,True
139,1965-07-19,1037.52002,1037.52002,1037.52002,1037.52002,1037.52002,0.0,Down,0.0,False
141,1965-07-21,1045.689941,1045.689941,1045.689941,1045.689941,1045.689941,0.0,Down,0.0,True
142,1965-07-22,1036.069946,1036.069946,1036.069946,1036.069946,1036.069946,0.0,Down,0.0,False
143,1965-07-23,1027.849976,1027.849976,1027.849976,1027.849976,1027.849976,0.0,Down,0.0,False
144,1965-07-26,1034.339966,1034.339966,1034.339966,1034.339966,1034.339966,0.0,Down,0.0,True
145,1965-07-27,1052.060059,1052.060059,1052.060059,1052.060059,1052.060059,0.0,Down,0.0,True
146,1965-07-28,1066.189941,1066.189941,1066.189941,1066.189941,1066.189941,0.0,Down,0.0,True
147,1965-07-29,1085.410034,1085.410034,1085.410034,1085.410034,1085.410034,0.0,Down,0.0,True
148,1965-07-30,1097.199951,1097.199951,1097.199951,1097.199951,1097.199951,0.0,Down,0.0,True
149,1965-08-02,1120.589966,1120.589966,1120.589966,1120.589966,1120.589966,0.0,Down,0.0,True
150,1965-08-03,1111.689941,1111.689941,1111.689941,1111.689941,1111.689941,0.0,Down,0.0,False
151,1965-08-04,1135.310059,1135.310059,1135.310059,1135.310059,1135.310059,0.0,Down,0.0,True
152,1965-08-05,1153.709961,1153.709961,1153.709961,1153.709961,1153.709961,0.0,Down,0.0,True
153,1965-08-06,1145.869995,1145.869995,1145.869995,1145.869995,1145.869995,0.0,Down,0.0,False
154,1965-08-09,1150.569946,1150.569946,1150.569946,1150.569946,1150.569946,0.0,Down,0.0,True
155,1965-08-10,1133.0,1133.0,1133.0,1133.0,1133.0,0.0,Down,0.0,False
156,1965-08-11,1122.089966,1122.089966,1122.089966,1122.089966,1122.089966,0.0,Down,0.0,False
157,1965-08-12,1130.329956,1130.329956,1130.329956,1130.329956,1130.329956,0.0,Down,0.0,True
158,1965-08-13,1146.660034,1146.660034,1146.660034,1146.660034,1146.660034,0.0,Down,0.0,True
159,1965-08-16,1158.349976,1158.349976,1158.349976,1158.349976,1158.349976,0.0,Down,0.0,True
160,1965-08-17,1151.77002,1151.77002,1151.77002,1151.77002,1151.77002,0.0,Down,0.0,False
161,1965-08-18,1157.02002,1157.02002,1157.02002,1157.02002,1157.02002,0.0,Down,0.0,True
162,1965-08-19,1168.619995,1168.619995,1168.619995,1168.619995,1168.619995,0.0,Down,0.0,True
163,1965-08-20,1165.810059,1165.810059,1165.810059,1165.810059,1165.810059,0.0,Down,0.0,False
164,1965-08-23,1170.920044,1170.920044,1170.920044,1170.920044,1170.920044,0.0,Down,0.0,True
165,1965-08-24,1183.339966,1183.339966,1183.339966,1183.339966,1183.339966,0.0,Down,0.0,True
166,1965-08-25,1198.910034,1198.910034,1198.910034,1198.910034,1198.910034,0.0,Down,0.0,True
167,1965-08-26,1198.380005,1198.380005,1198.380005,1198.380005,1198.380005,0.0,Down,0.0,False
168,1965-08-27,1214.949951,1214.949951,1214.949951,1214.949951,1214.949951,0.0,Down,0.0,True
169,1965-08-30,1245.48999,1245.48999,1245.48999,1245.48999,1245.48999,0.0,Down,0.0,True
170,1965-08-31,1255.579956,1255.579956,1255.579956,1255.579956,1255.579956,0.0,Down,0.0,True
171,1965-09-01,1249.719971,1249.719971,1249.719971,1249.719971,1249.719971,0.0,Down,0.0,False
172,1965-09-02,1240.069946,1240.069946,1240.069946,1240.069946,1240.069946,0.0,Down,0.0,False
173,1965-09-03,1256.219971,1256.219971,1256.219971,1256.219971,1256.219971,0.0,Down,0.0,True
174,1965-09-06,1235.780029,1235.780029,1235.780029,1235.780029,1235.780029,0.0,Down,0.0,False
175,1965-09-07,1239.97998,1239.97998,1239.97998,1239.97998,1239.97998,0.0,Down,0.0,True
176,1965-09-08,1260.02002,1260.02002,1260.02002,1260.02002,1260.02002,0.0,Down,0.0,True
177,1965-09-09,1277.150024,1277.150024,1277.150024,1277.150024,1277.150024,0.0,Down,0.0,True
178,1965-09-10,1273.22998,1273.22998,1273.22998,1273.22998,1273.22998,0.0,Down,0.0,False
179,1965-09-13,1250.290039,1250.290039,1250.290039,1250.290039,1250.290039,0.0,Down,0.0,False
180,1965-09-14,1250.099976,1250.099976,1250.099976,1250.099976,1250.099976,0.0,Down,0.0,False
182,1965-09-16,1242.949951,1242.949951,1242.949951,1242.949951,1242.949951,0.0,Down,0.0,False
183,1965-09-17,1266.400024,1266.400024,1266.400024,1266.400024,1266.400024,0.0,Down,0.0,True
184,1965-09-20,1271.76001,1271.76001,1271.76001,1271.76001,1271.76001,0.0,Down,0.0,True
185,1965-09-21,1253.25,1253.25,1253.25,1253.25,1253.25,0.0,Down,0.0,False
186,1965-09-22,1252.160034,1252.160034,1252.160034,1252.160034,1252.160034,0.0,Down,0.0,False
188,1965-09-24,1243.400024,1243.400024,1243.400024,1243.400024,1243.400024,0.0,Down,0.0,False
189,1965-09-27,1233.410034,1233.410034,1233.410034,1233.410034,1233.410034,0.0,Down,0.0,False
190,1965-09-28,1251.880005,1251.880005,1251.880005,1251.880005,1251.880005,0.0,Down,0.0,True
191,1965-09-29,1235.810059,1235.810059,1235.810059,1235.810059,1235.810059,0.0,Down,0.0,False
192,1965-09-30,1223.73999,1223.73999,1223.73999,1223.73999,1223.73999,0.0,Down,0.0,False
193,1965-10-01,1210.109985,1210.109985,1210.109985,1210.109985,1210.109985,0.0,Down,0.0,False
194,1965-10-04,1204.47998,1204.47998,1204.47998,1204.47998,1204.47998,0.0,Down,0.0,False
195,1965-10-05,1191.890015,1191.890015,1191.890015,1191.890015,1191.890015,0.0,Down,0.0,False
196,1965-10-06,1201.900024,1201.900024,1201.900024,1201.900024,1201.900024,0.0,Down,0.0,True
197,1965-10-07,1207.459961,1207.459961,1207.459961,1207.459961,1207.459961,0.0,Down,0.0,True
198,1965-10-08,1198.109985,1198.109985,1198.109985,1198.109985,1198.109985,0.0,Down,0.0,False
200,1965-10-12,1233.77002,1233.77002,1233.77002,1233.77002,1233.77002,0.0,Down,0.0,True
201,1965-10-13,1258.339966,1258.339966,1258.339966,1258.339966,1258.339966,0.0,Down,0.0,True
202,1965-10-14,1243.550049,1243.550049,1243.550049,1243.550049,1243.550049,0.0,Down,0.0,False
203,1965-10-15,1253.869995,1253.869995,1253.869995,1253.869995,1253.869995,0.0,Down,0.0,True
204,1965-10-18,1248.839966,1248.839966,1248.839966,1248.839966,1248.839966,0.0,Down,0.0,False
205,1965-10-19,1253.339966,1253.339966,1253.339966,1253.339966,1253.339966,0.0,Down,0.0,True
206,1965-10-20,1242.77002,1242.77002,1242.77002,1242.77002,1242.77002,0.0,Down,0.0,False
207,1965-10-21,1242.23999,1242.23999,1242.23999,1242.23999,1242.23999,0.0,Down,0.0,False
208,1965-10-22,1240.859985,1240.859985,1240.859985,1240.859985,1240.859985,0.0,Down,0.0,False
209,1965-10-25,1222.829956,1222.829956,1222.829956,1222.829956,1222.829956,0.0,Down,0.0,False
210,1965-10-26,1234.73999,1234.73999,1234.73999,1234.73999,1234.73999,0.0,Down,0.0,True
211,1965-10-27,1247.420044,1247.420044,1247.420044,1247.420044,1247.420044,0.0,Down,0.0,True
212,1965-10-28,1250.369995,1250.369995,1250.369995,1250.369995,1250.369995,0.0,Down,0.0,True
213,1965-10-29,1250.680054,1250.680054,1250.680054,1250.680054,1250.680054,0.0,Down,0.0,True
214,1965-11-01,1268.0,1268.0,1268.0,1268.0,1268.0,0.0,Down,0.0,True
215,1965-11-02,1264.599976,1264.599976,1264.599976,1264.599976,1264.599976,0.0,Down,0.0,False
217,1965-11-04,1268.640015,1268.640015,1268.640015,1268.640015,1268.640015,0.0,Down,0.0,True
218,1965-11-05,1262.800049,1262.800049,1262.800049,1262.800049,1262.800049,0.0,Down,0.0,False
219,1965-11-08,1284.310059,1284.310059,1284.310059,1284.310059,1284.310059,0.0,Down,0.0,True
